;Buy Volume  (MWh);Sell Volume  (MWh);Volume  (MWh);Price  (€/MWh)
2020-04-24 00:00:00;22591.8;13002.1;22591.8;23.87
2020-04-24 01:00:00;22040.0;12628.1;22040.0;21.63
2020-04-24 02:00:00;21993.8;12201.4;21993.8;21.54
2020-04-24 03:00:00;22243.6;12582.1;22243.6;21.54
2020-04-24 04:00:00;21861.8;11967.5;21861.8;20.93
2020-04-24 05:00:00;22135.9;11555.3;22135.9;22.0
2020-04-24 06:00:00;22365.1;11293.1;22365.1;26.69
2020-04-24 07:00:00;23148.7;14152.1;23148.7;35.85
2020-04-24 08:00:00;28543.7;19460.6;28543.7;31.0
2020-04-24 09:00:00;31184.9;23675.2;31184.9;21.84
2020-04-24 10:00:00;33111.3;26610.8;33111.3;20.0
2020-04-24 11:00:00;33838.6;29455.4;33838.6;18.45
2020-04-24 12:00:00;33746.5;31719.6;33746.5;16.15
2020-04-24 13:00:00;33780.8;32827.0;33780.8;14.55
2020-04-24 14:00:00;33534.2;32360.7;33534.2;12.02
2020-04-24 15:00:00;33399.5;30376.1;33399.5;10.0
2020-04-24 16:00:00;32829.5;27284.3;32829.5;11.81
2020-04-24 17:00:00;32531.7;22849.4;32531.7;15.62
2020-04-24 18:00:00;32206.0;18857.6;32206.0;19.97
2020-04-24 19:00:00;30782.3;15986.9;30782.3;22.27
2020-04-24 20:00:00;24795.4;12743.6;24795.4;22.5
2020-04-24 21:00:00;23925.1;13727.6;23925.1;21.98
2020-04-24 22:00:00;23381.2;13445.9;23381.2;23.0
2020-04-24 23:00:00;23200.0;14301.4;23200.0;20.4
2020-04-25 00:00:00;22484.2;15324.8;22484.2;12.9
2020-04-25 01:00:00;22754.5;15921.5;22754.5;9.07
2020-04-25 02:00:00;22466.9;15941.8;22466.9;12.61
2020-04-25 03:00:00;21728.2;15307.7;21728.2;14.42
2020-04-25 04:00:00;21360.5;14519.1;21360.5;14.48
2020-04-25 05:00:00;21608.9;13831.2;21608.9;14.03
2020-04-25 06:00:00;21507.6;14021.4;21507.6;14.88
2020-04-25 07:00:00;21970.4;15426.5;21970.4;15.09
2020-04-25 08:00:00;23328.5;19160.5;23328.5;18.7
2020-04-25 09:00:00;24686.3;23189.0;24686.3;16.63
